Category,Level1,Level2,Level3,Level4,Federal,,GovXFer,State,Local,Total,goodsnum
#NAME?,Defense,Military defense,Department of Defense  Military (051),"Family Housing Construction, Air Force",0.301,b,,,,0.301,338
#NAME?,Defense,Military defense,Department of Defense  Military (051),"Family Housing Operation and Maintenance, Air Force",0.48,b,,,,0.48,339
#NAME?,Defense,Military defense,Department of Defense  Military (051),"Family Housing Operation and Maintenance, DefenseWide",0.051,b,,,,0.051,340
#NAME?,Defense,Military defense,Department of Defense  Military (051),National Defense Sealift Fund,1.543,b,,,,1.543,341
#NAME?,Defense,Military defense,Department of Defense  Military (051),"Working Capital Fund, Army",1.609,b,,,,1.609,342
#NAME?,Defense,Military defense,Department of Defense  Military (051),"Working Capital Fund, Navy",-0.051,b,,,,-0.051,343
#NAME?,Defense,Military defense,Department of Defense  Military (051),"Working Capital Fund, Air Force",0.51,b,,,,0.51,344
#NAME?,Defense,Military defense,Department of Defense  Military (051),"Working Capital Fund, Defense Commissary Agency",1.409,b,,,,1.409,345
#NAME?,Defense,Military defense,Department of Defense  Military (051),"Working Capital Fund, DefenseWide",1.097,b,,,,1.097,346
#NAME?,Defense,Military defense,Department of Defense  Military (051),Pentagon Reservation Maintenance Revolving Fund,0.135,b,,,,0.135,347
#NAME?,Defense,Military defense,Department of Defense  Military (051),Voluntary Separation Incentive Fund,0.108,b,,,,0.108,348
#NAME?,Defense,Military defense,Department of Defense  Military (051),Host Nation Support Fund for Relocation,0.274,b,,,,0.274,349
#NAME?,Defense,Military defense,Department of Defense  Military (051),"MedicareEligible Retiree Health Fund Contribution, Navy",1.184,b,,,,1.184,350
#NAME?,Defense,Military defense,Department of Defense  Military (051),"MedicareEligible Retiree Health Fund Contribution, Marine Corps",0.739,b,,,,0.739,351
#NAME?,Defense,Military defense,Department of Defense  Military (051),"MedicareEligible Retiree Health Fund Contribution, Reserve Personnel, Navy",0.142,b,,,,0.142,352
#NAME?,Defense,Military defense,Department of Defense  Military (051),"MedicareEligible Retiree Health Fund Contribution, Reserve Personnel, Marine Corps",0.081,b,,,,0.081,353
#NAME?,Defense,Military defense,Department of Defense  Military (051),"MedicareEligible Retiree Health Fund Contribution, Army",2.052,b,,,,2.052,354
#NAME?,Defense,Military defense,Department of Defense  Military (051),"MedicareEligible Retiree Health Fund Contribution, Reserve Personnel, Army",0.428,b,,,,0.428,355
#NAME?,Defense,Military defense,Department of Defense  Military (051),"MedicareEligible Retiree Health Fund Contribution, National Guard Personnel, Army",0.746,b,,,,0.746,356
#NAME?,Defense,Military defense,Department of Defense  Military (051),"MedicareEligible Retiree Health Fund Contribution, Air Force",1.211,b,,,,1.211,357
#NAME?,Defense,Military defense,Department of Defense  Military (051),"MedicareEligible Retiree Health Fund Contribution, Reserve Personnel, Air Force",0.143,b,,,,0.143,358
#NAME?,Defense,Military defense,Department of Defense  Military (051),"MedicareEligible Retiree Health Fund Contribution, National Guard Personnel, Air Force",0.227,b,,,,0.227,359
#NAME?,Defense,Military defense,Department of Defense  Military (051),"Military Personnel, Marine Corps",14.037,b,,,,14.037,360
#NAME?,Defense,Military defense,Department of Defense  Military (051),"Reserve Personnel, Marine Corps",0.686,b,,,,0.686,361
#NAME?,Defense,Military defense,Department of Defense  Military (051),"Reserve Personnel, Navy",1.917,b,,,,1.917,362
#NAME?,Defense,Military defense,Department of Defense  Military (051),"Military Personnel, Navy",27.827,b,,,,27.827,363
#NAME?,Defense,Military defense,Department of Defense  Military (051),"Military Personnel, Army",49.731,b,,,,49.731,364
#NAME?,Defense,Military defense,Department of Defense  Military (051),"National Guard Personnel, Army",8.813,b,,,,8.813,365
#NAME?,Defense,Military defense,Department of Defense  Military (051),"Reserve Personnel, Army",4.518,b,,,,4.518,366
#NAME?,Defense,Military defense,Department of Defense  Military (051),"Military Personnel, Air Force",29.464,b,,,,29.464,367
#NAME?,Defense,Military defense,Department of Defense  Military (051),"Reserve Personnel, Air Force",1.738,b,,,,1.738,368
#NAME?,Defense,Military defense,Department of Defense  Military (051),"National Guard Personnel, Air Force",3.228,b,,,,3.228,369
#NAME?,Defense,Military defense,Department of Defense  Military (051),Concurrent Receipt Accrual Payments to the Military Retirement Fund,6.95,b,,,,6.95,370
#NAME?,Defense,Military defense,Atomic energy defense activities (053),Energy Employees Occupational Illness Compensation Fund,1.26,b,,,,1.26,371
#NAME?,Defense,Military defense,Atomic energy defense activities (053),"Administrative Expenses, Energy Employees Occupational Illness Compensation Fund",0.129,b,,,,0.129,372
#NAME?,Defense,Military defense,Atomic energy defense activities (053),Other Defense Activities,0.964,b,,,,0.964,373
#NAME?,Defense,Military defense,Atomic energy defense activities (053),Defense Environmental Cleanup,6.186,b,,,,6.186,374
#NAME?,Defense,Military defense,Atomic energy defense activities (053),Nuclear Energy,0.07,b,,,,0.07,375
#NAME?,Defense,Military defense,Atomic energy defense activities (053),Weapons Activities,7.753,b,,,,7.753,376
#NAME?,Defense,Military defense,Atomic energy defense activities (053),Defense Nuclear Nonproliferation,2.669,b,,,,2.669,377
#NAME?,Defense,Military defense,Atomic energy defense activities (053),Office of the Administrator,0.432,b,,,,0.432,378
#NAME?,Defense,Military defense,Atomic energy defense activities (053),Naval Reactors,1.06,b,,,,1.06,379
#NAME?,Defense,Military defense,Atomic energy defense activities (053),Formerly Utilized Sites Remedial Action Program,0.108,b,,,,0.108,380
#NAME?,Defense,Military defense,Atomic energy defense activities (053),CDCWide Activities and Program Support,0.055,b,,,,0.055,381
#NAME?,Defense,Military defense,Defenserelated activities (054),"Payment from the General Fund, Radiation Exposure Compensation Trust Fund",-0.06,b,,,,-0.06,382
#NAME?,Defense,Military defense,Defenserelated activities (054),Salaries and Expenses,5.041,b,,,,5.041,383
#NAME?,Defense,Military defense,Defenserelated activities (054),Payment to Radiation Exposure Compensation Trust Fund,0.06,b,,,,0.06,384
#NAME?,Defense,Military defense,Defenserelated activities (054),Radiation Exposure Compensation Trust Fund,0.06,b,,,,0.06,385
#NAME?,Defense,Military defense,Defenserelated activities (054),Payment to Military Retirement Fund,67.179,b,,,,67.179,386
#NAME?,Defense,Military defense,Defenserelated activities (054),"Federal Contributions, Military Retirement Fund",-67.179,b,,,,-67.179,387
#NAME?,Defense,Military defense,Defenserelated activities (054),"Federal Contributions, DoD MedicareEligible Retiree Health Care Fund",-3.633,b,,,,-3.633,388
#NAME?,Defense,Military defense,Defenserelated activities (054),Payment to Department of Defense MedicareEligible Retiree Health Care Fund,3.633,b,,,,3.633,389
#NAME?,Defense,Military defense,Defenserelated activities (054),Maritime Security Program,0.184,b,,,,0.184,390
#NAME?,Defense,Military defense,Defenserelated activities (054),Operating Expenses,0.342,b,,,,0.342,391
#NAME?,Defense,Military defense,Defenserelated activities (054),Infrastructure Protection and Information Security,1.259,b,,,,1.259,392
#NAME?,Defense,Military defense,Defenserelated activities (054),Salaries and Expenses,0.066,b,,,,0.066,393
#NAME?,Defense,Military defense,Defenserelated activities (054),Central Intelligence Agency Retirement and Disability System Fund,0.514,b,,,,0.514,394
#NAME?,Defense,Military defense,Defenserelated activities (054),Research and Related Activities,0.054,b,,,,0.054,395
#NAME?,Defense,Military defense,Defenserelated activities (054),Intelligence Community Management Account,0.553,b,,,,0.553,396
#NAME?,Defense,Civil defense,,,0,,0,0,0,0,397
#NAME?,Defense,Veterans,Income security for veterans (701),"NSLI Fund, Premium and Other Receipts",-0.069,b,,,,-0.069,398
#NAME?,Defense,Veterans,Income security for veterans (701),Compensation and Pensions,0.221,b,,,,0.221,399
#NAME?,Defense,Veterans,Income security for veterans (701),Veterans Insurance and Indemnities,0.105,b,,,,0.105,400
#NAME?,Defense,Veterans,Income security for veterans (701),Compensation,59.386,b,,,,59.386,401
#NAME?,Defense,Veterans,Income security for veterans (701),Pensions benefits,4.914,b,,,,4.914,402
#NAME?,Defense,Veterans,Income security for veterans (701),National Service Life Insurance Fund,1.081,b,,,,1.081,403
#NAME?,Defense,Veterans,Income security for veterans (701),Veterans Special Life Insurance Fund,0.053,b,,,,0.053,404
#NAME?,Defense,Veterans,"Veterans education, training, and rehabilitation (702)",Veterans Employment and Training,0.066,b,,,,0.066,405
#NAME?,Defense,Veterans,"Veterans education, training, and rehabilitation (702)","Employing Agency Contributions, Education Benefits Fund",-0.264,b,,,,-0.264,406
#NAME?,Defense,Veterans,"Veterans education, training, and rehabilitation (702)",Education Benefits Fund,0.428,b,,,,0.428,407
"---Contributions from Military Personnel, Veteran's Educational Assistance Act of 1984",Defense,Veterans,"Veterans education, training, and rehabilitation (702)","Contributions from Military Personnel, Veteran's Educational Assistance Act of 1984",-0.139,b,,,,-0.139,408
#NAME?,Defense,Veterans,"Veterans education, training, and rehabilitation (702)",Readjustment Benefits,13.716,b,,,,13.716,409
#NAME?,Defense,Veterans,Hospital and medical care for veterans (703),"Pharmaceutical Copayments, MCCF",-0.759,b,,,,-0.759,410
#NAME?,Defense,Veterans,Hospital and medical care for veterans (703),"First Party Collections, MCCF",-0.188,b,,,,-0.188,411
#NAME?,Defense,Veterans,Hospital and medical care for veterans (703),"Third Party Collections, MCCF",-1.917,b,,,,-1.917,412
#NAME?,Defense,Veterans,Hospital and medical care for veterans (703),"Compensated Work Therapy, MCCF",-0.057,b,,,,-0.057,413
#NAME?,Defense,Veterans,Hospital and medical care for veterans (703),Medical Support and Compliance,5.637,b,,,,5.637,414
#NAME?,Defense,Veterans,Hospital and medical care for veterans (703),Medical Services,0.765,b,,,,0.765,415
#NAME?,Defense,Veterans,Hospital and medical care for veterans (703),Medical Services,42.775,b,,,,42.775,416
#NAME?,Defense,Veterans,Hospital and medical care for veterans (703),Medical and Prosthetic Research,0.573,b,,,,0.573,417
#NAME?,Defense,Veterans,Hospital and medical care for veterans (703),Medical Facilities,5.282,b,,,,5.282,418
#NAME?,Defense,Veterans,Hospital and medical care for veterans (703),DODVA Health Care Sharing Incentive Fund,0.08,b,,,,0.08,419
#NAME?,Defense,Veterans,Hospital and medical care for veterans (703),"Construction, Major Projects",0.945,b,,,,0.945,420
#NAME?,Defense,Veterans,Hospital and medical care for veterans (703),"Construction, Minor Projects",0.421,b,,,,0.421,421
#NAME?,Defense,Veterans,Hospital and medical care for veterans (703),Grants for Construction of State Extended Care Facilities,0.074,b,,,,0.074,422
#NAME?,Defense,Veterans,Veterans housing (704),Housing Negative Subsidies,-0.083,b,,,,-0.083,423
#NAME?,Defense,Veterans,Veterans housing (704),Veterans Housing Benefit Program Fund,0.158,b,,,,0.158,424
#NAME?,Defense,Veterans,Veterans housing (704),Veterans Housing Benefit Program Fund,0.186,b,,,,0.186,425
#NAME?,Defense,Veterans,Other veterans benefits and services (705),Salaries and Expenses,0.074,b,,,,0.074,426
#NAME?,Defense,Veterans,Other veterans benefits and services (705),National Cemetery Administration,0.253,b,,,,0.253,427
#NAME?,Defense,Veterans,Other veterans benefits and services (705),General Administration,2.501,b,,,,2.501,428
#NAME?,Defense,Veterans,Other veterans benefits and services (705),Information Technology Systems,3.716,b,,,,3.716,429
#NAME?,Defense,Veterans,Other veterans benefits and services (705),Office of Inspector General,0.11,b,,,,0.11,430
#NAME?,Defense,Veterans,Other veterans benefits and services (705),Supply Fund,-0.1,b,,,,-0.1,431
--Current Operations - Veterans Bonuses (Disc. 2005) (E84),Defense,Veterans,Current Operations  Veterans Bonuses (Disc. 2005) (E84),,0,,0,0,0,0,432
--Current Operations - State Veterans' Services (E85),Defense,Veterans,Current Operations  State Veterans' Services (E85),,0,g,0,0.4,0,0.4,433
--Construction - State Veterans' Services (F85),Defense,Veterans,Construction  State Veterans' Services (F85),,0,g,0,0.1,0,0.1,434
--Other Capital Outlay - State Veterans' Services (G85),Defense,Veterans,Other Capital Outlay  State Veterans' Services (G85),,0,g,0,0.6,0,0.6,435
#NAME?,Defense,Veterans,Assistance and Subsidies  Other Veterans Services (J85),,0,g,0,0.1,0,0.1,436
#NAME?,Defense,Foreign military aid,International security assistance (152),Peacekeeping Operations,0.416,b,,,,0.416,437
#NAME?,Defense,Foreign military aid,International security assistance (152),Economic Support Fund,5.949,b,,,,5.949,438
#NAME?,Defense,Foreign military aid,International security assistance (152),"Nonproliferation, Antiterrorism, Demining, and Related Programs",0.604,b,,,,0.604,439
#NAME?,Defense,Foreign military aid,International security assistance (152),International Military Education and Training,0.104,b,,,,0.104,440
#NAME?,Defense,Foreign military aid,International security assistance (152),Foreign Military Financing Program,6.556,b,,,,6.556,441
#NAME?,Defense,Foreign military aid,International security assistance (152),Pakistan Counterinsurgency Capability Fund,0.64,b,,,,0.64,442
#NAME?,Defense,Foreign military aid,International security assistance (152),Foreign Military Loan Liquidating Account,-0.173,b,,,,-0.173,443
#NAME?,Defense,Foreign economic aid,International development and humanitarian assistance (151),International Narcotics Control and Law Enforcement,2.836,b,,,,2.836,444
#NAME?,Defense,Foreign economic aid,International development and humanitarian assistance (151),Global Health Programs,8.693,b,,,,8.693,445
#NAME?,Defense,Foreign economic aid,International development and humanitarian assistance (151),Democracy Fund,0.149,b,,,,0.149,446
#NAME?,Defense,Foreign economic aid,International development and humanitarian assistance (151),Migration and Refugee Assistance,1.606,b,,,,1.606,447
#NAME?,Defense,Foreign economic aid,International development and humanitarian assistance (151),Andean Counterdrug Programs,0.081,b,,,,0.081,448
#NAME?,Defense,Foreign economic aid,International development and humanitarian assistance (151),Middle East and North Africa Incentive Fund,0.193,b,,,,0.193,449
#NAME?,Defense,Foreign economic aid,International development and humanitarian assistance (151),United States Emergency Refugee and Migration Assistance Fund,0.062,b,,,,0.062,450
#NAME?,Defense,Foreign economic aid,International development and humanitarian assistance (151),International Organizations and Programs,0.399,b,,,,0.399,451
#NAME?,Defense,Foreign economic aid,International development and humanitarian assistance (151),Global Food Security Fund,0.134,b,,,,0.134,452
#NAME?,Defense,Foreign economic aid,International development and humanitarian assistance (151),Contribution to the InterAmerican Development Bank,0.102,b,,,,0.102,453
#NAME?,Defense,Foreign economic aid,International development and humanitarian assistance (151),Contribution to the International Development Association,1.357,b,,,,1.357,454
#NAME?,Defense,Foreign economic aid,International development and humanitarian assistance (151),Contribution to the Asian Development Bank,0.214,b,,,,0.214,455
#NAME?,Defense,Foreign economic aid,International development and humanitarian assistance (151),Contribution to the International Bank for Reconstruction and Development,0.316,b,,,,0.316,456
#NAME?,Defense,Foreign economic aid,International development and humanitarian assistance (151),Contribution to the African Development Bank,0.218,b,,,,0.218,457
#NAME?,Defense,Foreign economic aid,International development and humanitarian assistance (151),Clean Technology Fund,0.185,b,,,,0.185,458
#NAME?,Defense,Foreign economic aid,International development and humanitarian assistance (151),Debt Restructuring,0.183,b,,,,0.183,459
#NAME?,Defense,Foreign economic aid,International development and humanitarian assistance (151),Operating Expenses of the Agency for International Development,1.314,b,,,,1.314,460
#NAME?,Defense,Foreign economic aid,International development and humanitarian assistance (151),"Operating Expenses, Office of Inspector General",0.062,b,,,,0.062,461
#NAME?,Defense,Foreign economic aid,International development and humanitarian assistance (151),Development Assistance Program,2.365,b,,,,2.365,462
#NAME?,Defense,Foreign economic aid,International development and humanitarian assistance (151),HIV/AIDS Working Capital Fund,0.08,b,,,,0.08,463
#NAME?,Defense,Foreign economic aid,International development and humanitarian assistance (151),International Disaster Assistance,0.916,b,,,,0.916,464
#NAME?,Defense,Foreign economic aid,International development and humanitarian assistance (151),Development Credit Authority Program Account,0.059,b,,,,0.059,465
#NAME?,Defense,Foreign economic aid,International development and humanitarian assistance (151),Capital Investment Fund of the United States Agency for International Development.,0.137,b,,,,0.137,466
#NAME?,Defense,Foreign economic aid,International development and humanitarian assistance (151),"Assistance for Europe, Eurasia and Central Asia",0.576,b,,,,0.576,467
#NAME?,Defense,Foreign economic aid,International development and humanitarian assistance (151),Economic Assistance Loans Liquidating Account,-0.344,b,,,,-0.344,468
#NAME?,Defense,Foreign economic aid,International development and humanitarian assistance (151),Overseas Private Investment Corporation Program Account,0.054,b,,,,0.054,469
#NAME?,Defense,Foreign economic aid,International development and humanitarian assistance (151),"Overseas Private Investment Corporation Loans, Negative Subsidies",-0.1,b,,,,-0.1,470
#NAME?,Defense,Foreign economic aid,International development and humanitarian assistance (151),Overseas Private Investment Corporation Noncredit Account,-0.175,b,,,,-0.175,471
#NAME?,Defense,Foreign economic aid,International development and humanitarian assistance (151),Trade and Development Agency,0.061,b,,,,0.061,472
#NAME?,Defense,Foreign economic aid,International development and humanitarian assistance (151),Peace Corps,0.375,b,,,,0.375,473
#NAME?,Defense,Foreign economic aid,International development and humanitarian assistance (151),Millennium Challenge Corporation,1.484,b,,,,1.484,474
"---Expenses, Public Law 480, Foreign Assistance Programs, Agriculture Liquidating Account",Defense,Foreign economic aid,International development and humanitarian assistance (151),"Expenses, Public Law 480, Foreign Assistance Programs, Agriculture Liquidating Account",-0.276,b,,,,-0.276,475
#NAME?,Defense,Foreign economic aid,International development and humanitarian assistance (151),Food for Peace Title II Grants,1.437,b,,,,1.437,476
#NAME?,Defense,Foreign economic aid,International development and humanitarian assistance (151),McGovernDole International Food for Education and Child Nutrition Program,0.202,b,,,,0.202,477
#NAME?,Defense,Foreign economic aid,Conduct of foreign affairs (153),"Federal Contributions, Foreign Service Retirement and Disability Fund",-0.286,b,,,,-0.286,478
#NAME?,Defense,Foreign economic aid,Conduct of foreign affairs (153),Contributions for International Peacekeeping Activities,2.05,b,,,,2.05,479
#NAME?,Defense,Foreign economic aid,Conduct of foreign affairs (153),Contributions to International Organizations,1.569,b,,,,1.569,480
#NAME?,Defense,Foreign economic aid,Conduct of foreign affairs (153),Diplomatic and Consular Programs,10.852,b,,,,10.852,481
#NAME?,Defense,Foreign economic aid,Conduct of foreign affairs (153),Capital Investment Fund,0.082,b,,,,0.082,482
#NAME?,Defense,Foreign economic aid,Conduct of foreign affairs (153),Conflict Stabilization Operations,0.071,b,,,,0.071,483
#NAME?,Defense,Foreign economic aid,Conduct of foreign affairs (153),Working Capital Fund,0.276,b,,,,0.276,484
#NAME?,Defense,Foreign economic aid,Conduct of foreign affairs (153),Office of the Inspector General,0.13,b,,,,0.13,485
#NAME?,Defense,Foreign economic aid,Conduct of foreign affairs (153),"Embassy Security, Construction, and Maintenance",1.287,b,,,,1.287,486
#NAME?,Defense,Foreign economic aid,Conduct of foreign affairs (153),Payment to Foreign Service Retirement and Disability Fund,0.286,b,,,,0.286,487
#NAME?,Defense,Foreign economic aid,Conduct of foreign affairs (153),Salaries and Expenses,0.083,b,,,,0.083,488
#NAME?,Defense,Foreign economic aid,Foreign information and exchange activities (154),National Endowment for Democracy,0.135,b,,,,0.135,489
#NAME?,Defense,Foreign economic aid,Foreign information and exchange activities (154),Educational and Cultural Exchange Programs,0.652,b,,,,0.652,490
#NAME?,Defense,Foreign economic aid,Foreign information and exchange activities (154),International Broadcasting Operations,0.717,b,,,,0.717,491
#NAME?,Defense,Foreign economic aid,International financial programs (155),Exchange Stabilization Fund,-0.296,b,,,,-0.296,492
#NAME?,Defense,Foreign economic aid,International financial programs (155),"Deposits, Advances, Foreign Military Sales Trust Fund",-27.743,b,,,,-27.743,493
#NAME?,Defense,Foreign economic aid,International financial programs (155),Foreign Military Sales Trust Fund,30.867,b,,,,30.867,494
#NAME?,Defense,Foreign economic aid,International financial programs (155),ExportImport Bank Loans Program Account,-0.403,b,,,,-0.403,495
#NAME?,Defense,Foreign economic aid,International financial programs (155),"ExportImport Bank Loans, Negative Subsidies",-0.364,b,,,,-0.364,496
--International cooperation (156),Defense,Foreign economic aid,International cooperation (156),,0,,0,0,0,0,497
-R&D Defence,Defense,R&D Defence,,,0,,0,0,0,0,498
--Defense Overseas Contingency Operations (059),Defense,Defence n.e.c.,Defense Overseas Contingency Operations (059),,0,,0,0,0,0,499
#NAME?,Welfare,Family and children,Food and nutrition assistance (605),Emergency Food and Shelter,0.1,b,,,,0.1,500
"---Funds for Strengthening Markets, Income, and Supply (section 32)",Welfare,Family and children,Food and nutrition assistance (605),"Funds for Strengthening Markets, Income, and Supply (section 32)",1.044,b,,,,1.044,501
#NAME?,Welfare,Family and children,Food and nutrition assistance (605),Supplemental Nutrition Assistance Program,7.034,b,,,,7.034,502
#NAME?,Welfare,Family and children,Food and nutrition assistance (605),Supplemental Nutrition Assistance Program,75.716,b,,,,75.716,503
#NAME?,Welfare,Family and children,Food and nutrition assistance (605),Commodity Assistance Program,0.254,b,,,,0.254,504
#NAME?,Welfare,Family and children,Food and nutrition assistance (605),Nutrition Programs Administration,0.146,b,,,,0.146,505
#NAME?,Welfare,Family and children,Food and nutrition assistance (605),"Special Supplemental Nutrition Program for Women, Infants, and Children (WIC)",7.427,b,,,,7.427,506
#NAME?,Welfare,Family and children,Food and nutrition assistance (605),Child Nutrition Programs,19.768,b,,,,19.768,507
#NAME?,Welfare,Family and children,Food and nutrition assistance (605),Child Nutrition Programs,0.191,b,,,,0.191,508
"--Current Operations - Welfare, Federal Categorical Assistance Programs (Disc. 2005) (E67)",Welfare,Family and children,"Current Operations  Welfare, Federal Categorical Assistance Programs (Disc. 2005) (E67)",,0,,0,0,0,0,509
"--Current Operations - Welfare, Cash Assistance - Other (Disc. 2005) (E68)",Welfare,Family and children,"Current Operations  Welfare, Cash Assistance  Other (Disc. 2005) (E68)",,0,,0,0,0,0,510
#NAME?,Welfare,Family and children,"Assistance and Subsidies  Public Welfare, Federal Categorical Assistance Programs (J67)",,0,g,0,7.6,9.3,16.9,511
#NAME?,Welfare,Family and children,"Assistance and Subsidies  Public Welfare, Cash Assistance Programs  Other (J68)",,0,g,0,6.8,2.6,9.4,512
#NAME?,Welfare,Unemployment,Unemployment compensation (603),"Deposits by Federal Agencies to the Federal Employees Compensation Account, Unemployment Trust Fund",-1.16,b,,,,-1.16,513
#NAME?,Welfare,Unemployment,Unemployment compensation (603),"Payments from the General Fund for Administrative Cost for Extended Unemployment Benefit, Unemployment Trust Fund",-19.351,b,,,,-19.351,514
#NAME?,Welfare,Unemployment,Unemployment compensation (603),Payments to the Unemployment Trust Fund,19.351,b,,,,19.351,515
#NAME?,Welfare,Unemployment,Unemployment compensation (603),State Unemployment Insurance and Employment Service Operations,0.379,b,,,,0.379,516
#NAME?,Welfare,Unemployment,Unemployment compensation (603),Federal Unemployment Benefits and Allowances,0.521,b,,,,0.521,517
#NAME?,Welfare,Unemployment,Unemployment compensation (603),Unemployment Trust Fund,1.591,b,,,,1.591,518
#NAME?,Welfare,Unemployment,Unemployment compensation (603),Unemployment Trust Fund,1.469,b,,,,1.469,519
#NAME?,Welfare,Unemployment,Unemployment compensation (603),Unemployment Trust Fund,0.766,b,,,,0.766,520
#NAME?,Welfare,Unemployment,Unemployment compensation (603),Unemployment Trust Fund,73.742,b,,,,73.742,521
#NAME?,Welfare,Unemployment,Unemployment compensation (603),Railroad Unemployment Insurance Trust Fund,0.1,b,,,,0.1,522
#NAME?,Welfare,Unemployment,Federal Intergovernmental  Employment Security Administration (B22),,0,g,-5.5,0,0,-5.5,523
#NAME?,Welfare,Unemployment,Current Operations  Social Insurance Administration (E22),,0,g,0,5.2,0,5.2,524
#NAME?,Welfare,Unemployment,Construction  Social Insurance Administration (F22),,0,g,0,0,0,0,525
#NAME?,Welfare,Unemployment,Other Capital Outlay  Social Insurance Administration (G22),,0,g,0,0,0,0,526
#NAME?,Welfare,Unemployment trust,Unemployment Compensation  Benefit Payments (Y05),,0,g,0,27.4,0.1,27.5,527
#NAME?,Welfare,Unemployment trust,Unemployment Compensation  Extended and Special Payments (Y06),,0,g,0,48.1,0.2,48.2,528
#NAME?,Welfare,Workers compensation,General retirement and disability insurance (excluding social security (Disc. 2005) (601),Salaries and Expenses,0.183,b,,,,0.183,529
#NAME?,Welfare,Workers compensation,General retirement and disability insurance (excluding social security (Disc. 2005) (601),Pension Benefit Guaranty Corporation Fund,-1.575,b,,,,-1.575,530
#NAME?,Welfare,Workers compensation,General retirement and disability insurance (excluding social security (Disc. 2005) (601),Special Benefits for Disabled Coal Miners,0.168,b,,,,0.168,531
#NAME?,Welfare,Workers compensation,General retirement and disability insurance (excluding social security (Disc. 2005) (601),Black Lung Disability Trust Fund,0.309,b,,,,0.309,532
---Special Workers' Compensation Expenses,Welfare,Workers compensation,General retirement and disability insurance (excluding social security (Disc. 2005) (601),Special Workers' Compensation Expenses,0.147,b,,,,0.147,533
#NAME?,Welfare,Workers compensation,General retirement and disability insurance (excluding social security (Disc. 2005) (601),Interest Payments on Repayable Advances to the Black Lung Disability Trust Fund,-0.057,b,,,,-0.057,534
#NAME?,Welfare,Workers compensation,General retirement and disability insurance (excluding social security (Disc. 2005) (601),Payment of Interest on Advances to the Railroad Retirement Board,-0.106,b,,,,-0.106,535
#NAME?,Welfare,Workers compensation,General retirement and disability insurance (excluding social security (Disc. 2005) (601),Federal Payment to the District of Columbia Pension Fund,0.469,b,,,,0.469,536
#NAME?,Welfare,Workers compensation,General retirement and disability insurance (excluding social security (Disc. 2005) (601),"Federal Contribution, DC Federal Pension Fund",-0.469,b,,,,-0.469,537
#NAME?,Welfare,Workers compensation,General retirement and disability insurance (excluding social security (Disc. 2005) (601),District of Columbia Federal Pension Fund,0.554,b,,,,0.554,538
#NAME?,Welfare,Workers compensation,General retirement and disability insurance (excluding social security (Disc. 2005) (601),Federal Payments to the Railroad Retirement Accounts,0.544,b,,,,0.544,539
#NAME?,Welfare,Workers compensation,General retirement and disability insurance (excluding social security (Disc. 2005) (601),"Railroad Social Security Equivalent Benefit Account, Income Tax Credits",-0.211,b,,,,-0.211,540
#NAME?,Welfare,Workers compensation,General retirement and disability insurance (excluding social security (Disc. 2005) (601),"Railroad Social Security Equivalent Benefit Account, Receipts from Federal Oldage Survivors Ins. Trust Fund",-3.837,b,,,,-3.837,541
#NAME?,Welfare,Workers compensation,General retirement and disability insurance (excluding social security (Disc. 2005) (601),"Railroad Social Security Equivalent Benefit Account, Receipts from Federal Disability Insurance Trust Fund",-0.485,b,,,,-0.485,542
#NAME?,Welfare,Workers compensation,General retirement and disability insurance (excluding social security (Disc. 2005) (601),Railroad Social Security Equivalent Benefit Account,6.887,b,,,,6.887,543
#NAME?,Welfare,Workers compensation,General retirement and disability insurance (excluding social security (Disc. 2005) (601),"Payment from the National Railroad Retirement Investment Trust, Rail Industry Pension Fund",-1.983,b,,,,-1.983,544
#NAME?,Welfare,Workers compensation,General retirement and disability insurance (excluding social security (Disc. 2005) (601),"Federal Payments to Railroad Retirement Trust Funds, Rail Industry Pension Fund",-0.333,b,,,,-0.333,545
#NAME?,Welfare,Workers compensation,General retirement and disability insurance (excluding social security (Disc. 2005) (601),Rail Industry Pension Fund,0.074,b,,,,0.074,546
#NAME?,Welfare,Workers compensation,General retirement and disability insurance (excluding social security (Disc. 2005) (601),Rail Industry Pension Fund,4.984,b,,,,4.984,547
#NAME?,Welfare,Workers compensation,General retirement and disability insurance (excluding social security (Disc. 2005) (601),National Railroad Retirement Investment Trust,2.061,b,,,,2.061,548
#NAME?,Welfare,Workers compensation,Workers Compensation  Benefit Payments (Y14),,0,g,0,12.1,0,12.1,549
#NAME?,Welfare,Housing,Housing assistance (604),"Troubled Asset Relief Program, Housing Programs",12.148,b,,,,12.148,550
#NAME?,Welfare,Housing,Housing assistance (604),Housing Personnel Compensation and Benefits,0.399,b,,,,0.399,551
#NAME?,Welfare,Housing,Housing assistance (604),"Administration, Operations and Management",0.531,b,,,,0.531,552
#NAME?,Welfare,Housing,Housing assistance (604),Public and Indian Housing Personnel Compensation and Benefits,0.211,b,,,,0.211,553
#NAME?,Welfare,Housing,Housing assistance (604),Public Housing Operating Fund,4.276,b,,,,4.276,554
#NAME?,Welfare,Housing,Housing assistance (604),Revitalization of Severely Distressed Public Housing (HOPE VI),0.15,b,,,,0.15,555
#NAME?,Welfare,Housing,Housing assistance (604),Tenant Based Rental Assistance,19.092,b,,,,19.092,556
